Reaction,Annotation
rxn02089,  Carbohydrate metabolism
rxn01499,  Amino acid metabolism
rxn14232,  Amino acid metabolism
rxn06983,  Carbohydrate metabolism
rxn00953,
rxn13801,
rxn32838,  Metabolism of cofactors and vitamins
rxn00331,  Carbohydrate metabolism
rxn05116,  Metabolism of cofactors and vitamins
rxn16829,  Nucleotide metabolism
rxn11014,
rxn42988,
rxn02415,  Biosynthesis of other secondary metabolites
rxn34672,  Metabolism of other amino acids
rxn30549,  Amino acid metabolism
rxn29993,  Amino acid metabolism
rxn04340,  Metabolism of terpenoids and polyketides
rxn06744,
rxn07520,  Xenobiotics biodegradation and metabolism
rxn29083,  Carbohydrate metabolism
rxn01792,  Metabolism of cofactors and vitamins
rxn15947,  Amino acid metabolism
rxn03903,  Glycan biosynthesis and metabolism
rxn00592,  Xenobiotics biodegradation and metabolism
rxn02038,  Lipid metabolism
rxn15635,  Metabolism of terpenoids and polyketides
rxn10212,  Energy metabolism
rxn00784,  Carbohydrate metabolism
rxn15237,  Carbohydrate metabolism
rxn03871,  Xenobiotics biodegradation and metabolism
rxn30395,  Carbohydrate metabolism
rxn13834,
rxn32758,  Lipid metabolism
rxn03938,
rxn30429,  Nucleotide metabolism
rxn00938,  Metabolism of cofactors and vitamins
rxn15948,  Amino acid metabolism
rxn09375,
rxn01518,  Nucleotide metabolism
rxn32727,
rxn19210,  Amino acid metabolism
rxn15925,  Metabolism of cofactors and vitamins
rxn01784,  Metabolism of other amino acids
rxn33080,  Xenobiotics biodegradation and metabolism
rxn00010,  Carbohydrate metabolism
rxn07318,  Lipid metabolism
rxn34775,  Lipid metabolism
rxn30430,  Amino acid metabolism
rxn33981,  Carbohydrate metabolism
rxn08160,  Metabolism of cofactors and vitamins
rxn27685,  Nucleotide metabolism
rxn02440,  Carbohydrate metabolism
rxn35652,
rxn02948,  Xenobiotics biodegradation and metabolism
rxn15784,  Metabolism of cofactors and vitamins
rxn01641,  Amino acid metabolism
rxn03690,  Xenobiotics biodegradation and metabolism
rxn08775,
rxn15408,  Carbohydrate metabolism
rxn23649,
rxn07646,  Metabolism of terpenoids and polyketides
rxn00934,  Carbohydrate metabolism
rxn00293,  Carbohydrate metabolism
rxn18920,
rxn30334,  Metabolism of other amino acids
rxn33207,  Carbohydrate metabolism
rxn16334,
rxn03611,  Xenobiotics biodegradation and metabolism
rxn03605,  Xenobiotics biodegradation and metabolism
rxn03921,  Xenobiotics biodegradation and metabolism
rxn32052,  Carbohydrate metabolism
rxn03573,  Xenobiotics biodegradation and metabolism
rxn34488,  Xenobiotics biodegradation and metabolism
rxn03342,  Amino acid metabolism
rxn01631,  Amino acid metabolism
rxn01461,  Amino acid metabolism
rxn04339,  Metabolism of terpenoids and polyketides
rxn00624,  Amino acid metabolism
rxn34576,  Lipid metabolism
rxn33400,
rxn00686,  Metabolism of cofactors and vitamins
rxn31235,  Carbohydrate metabolism
rxn22986,  Amino acid metabolism
rxn03419,  Metabolism of cofactors and vitamins
rxn38706,  Energy metabolism
rxn07358,  Metabolism of terpenoids and polyketides
rxn19010,  Nucleotide metabolism
rxn03642,  Carbohydrate metabolism
rxn35484,
rxn15164,  Metabolism of cofactors and vitamins
rxn03514,  Metabolism of cofactors and vitamins
rxn12772,  Carbohydrate metabolism
rxn03167,  Metabolism of cofactors and vitamins
rxn37807,  Amino acid metabolism
rxn06220,  Lipid metabolism
rxn39917,
rxn35281,
rxn15216,  Lipid metabolism
rxn07492,  Carbohydrate metabolism
rxn03739,  Xenobiotics biodegradation and metabolism
rxn38114,  Carbohydrate metabolism
rxn40643,
rxn27618,  Lipid metabolism
rxn04037,  Carbohydrate metabolism
rxn09429,  Lipid metabolism
rxn34627,  Carbohydrate metabolism
rxn37600,  Carbohydrate metabolism
rxn04418,
rxn14152,  Amino acid metabolism
rxn11655,  Xenobiotics biodegradation and metabolism
rxn00461,  Carbohydrate metabolism
rxn02002,  Metabolism of terpenoids and polyketides
rxn06522,
rxn32093,  Lipid metabolism
rxn07466,
rxn04587,  Biosynthesis of other secondary metabolites
rxn34185,  Metabolism of other amino acids
rxn04288,  Metabolism of terpenoids and polyketides
rxn03667,  Xenobiotics biodegradation and metabolism
rxn07355,  Metabolism of terpenoids and polyketides
rxn18579,  Nucleotide metabolism
rxn30393,
rxn07191,  Carbohydrate metabolism
rxn00921,  Xenobiotics biodegradation and metabolism
EXpd09027,
rxn31777,  Lipid metabolism
rxn30643,
rxn01985,  Nucleotide metabolism
rxn01577,
rxn07476,  Carbohydrate metabolism
rxn06694,
rxn10053,  Energy metabolism
rxn31994,  Biosynthesis of other secondary metabolites
rxn01350,  Energy metabolism
rxn05107,  Amino acid metabolism
rxn37889,  Lipid metabolism
rxn03612,  Xenobiotics biodegradation and metabolism
rxn15949,  Amino acid metabolism
rxn14319,  Lipid metabolism
rxn04550,  Metabolism of terpenoids and polyketides
rxn05527,
rxn30541,
rxn15880,
rxn22821,
rxn06425,
rxn15875,
rxn08224,
rxn02885,  Amino acid metabolism
rxn34798,
rxn28115,  Amino acid metabolism
rxn30860,  Metabolism of cofactors and vitamins
rxn11156,  Metabolism of cofactors and vitamins
rxn35212,
rxn02931,
rxn01763,  Carbohydrate metabolism
rxn00837,  Nucleotide metabolism
rxn01913,  Carbohydrate metabolism
rxn11750,  Xenobiotics biodegradation and metabolism
rxn01615,  Carbohydrate metabolism
rxn40745,
rxn33557,
rxn16178,  Metabolism of terpenoids and polyketides
rxn03714,  Xenobiotics biodegradation and metabolism
cofactor_rxn,
rxn16622,  Carbohydrate metabolism
rxn10203,  Energy metabolism
rxn32776,  Metabolism of cofactors and vitamins
rxn08797,
rxn03301,  Lipid metabolism
rxn02193,  Lipid metabolism
rxn28377,  Metabolism of terpenoids and polyketides
rxn15062,  Carbohydrate metabolism
EXpd00098,
rxn05618,
rxn01633,  Carbohydrate metabolism
rxn02341,  Metabolism of cofactors and vitamins
rxn30635,  Amino acid metabolism
rxn31973,  Nucleotide metabolism
rxn06168,
rxn05226,  Nucleotide metabolism
rxn03574,  Xenobiotics biodegradation and metabolism
rxn15878,
rxn00544,  Carbohydrate metabolism
rxn39376,  Amino acid metabolism
rxn15642,  Xenobiotics biodegradation and metabolism
rxn31801,  Amino acid metabolism
rxn12363,  Metabolism of cofactors and vitamins
rxn03078,
rxn05356,  Lipid metabolism
rxn08612,  Nucleotide metabolism
rxn00426,  Amino acid metabolism
rxn38273,
rxn16249,  Xenobiotics biodegradation and metabolism
rxn06648,
rxn16804,  Xenobiotics biodegradation and metabolism
rxn31365,  Energy metabolism
EXpd01092,
rxn16583,
rxn01735,  Amino acid metabolism
rxn31366,  Energy metabolism
rxn11811,  Xenobiotics biodegradation and metabolism
rxn05232,  Nucleotide metabolism
EXpd00438,
rxn33120,  Carbohydrate metabolism
rxn07152,  Biosynthesis of other secondary metabolites
rxn01156,  Amino acid metabolism
rxn15856,  Biosynthesis of other secondary metabolites
rxn01930,  Amino acid metabolism
rxn16573,  Metabolism of cofactors and vitamins
rxn05165,  Nucleotide metabolism
rxn03904,  Glycan biosynthesis and metabolism
rxn05300,  Lipid metabolism
rxn03649,  Xenobiotics biodegradation and metabolism
rxn06860,  Carbohydrate metabolism
rxn03841,  Metabolism of cofactors and vitamins
rxn26080,  Amino acid metabolism
rxn00562,  Nucleotide metabolism
rxn01644,
rxn32798,  Amino acid metabolism
rxn01573,  Amino acid metabolism
rxn16346,
protein_rxn,
rxn03936,  Xenobiotics biodegradation and metabolism
rxn06299,  Energy metabolism
rxn03003,  Amino acid metabolism
rxn00909,  Metabolism of cofactors and vitamins
rxn32460,  Amino acid metabolism
rxn31539,
rxn28109,  Xenobiotics biodegradation and metabolism
rxn20037,  Xenobiotics biodegradation and metabolism
rxn07204,  Energy metabolism
rxn04912,  Lipid metabolism
rxn15226,  Carbohydrate metabolism
rxn04914,  Lipid metabolism
rxn06080,  Lipid metabolism
rxn15621,  Metabolism of terpenoids and polyketides
rxn00594,  Xenobiotics biodegradation and metabolism
rxn33220,  Metabolism of terpenoids and polyketides
rxn15850,  Biosynthesis of other secondary metabolites
rxn23243,  Metabolism of terpenoids and polyketides
rxn16169,  Metabolism of terpenoids and polyketides
rxn11006,
rxn01494,  Amino acid metabolism
rxn00957,  Xenobiotics biodegradation and metabolism
rxn30156,
rxn33032,  Amino acid metabolism
rxn35413,  Metabolism of cofactors and vitamins
rxn16157,  Metabolism of terpenoids and polyketides
rxn30034,
rxn16621,  Amino acid metabolism
rxn07848,  Energy metabolism
rxn15617,  Metabolism of terpenoids and polyketides
rxn30708,  Metabolism of cofactors and vitamins
EXpd00060,
rxn02273,  Amino acid metabolism
rxn15229,  Nucleotide metabolism
rxn02322,  Metabolism of terpenoids and polyketides
rxn11744,
rxn02318,  Carbohydrate metabolism
rxn00015,  Biosynthesis of other secondary metabolites
rxn04896,  Xenobiotics biodegradation and metabolism
rxn31335,  Carbohydrate metabolism
rxn26073,  Glycan biosynthesis and metabolism
rxn16230,  Metabolism of terpenoids and polyketides
rxn29888,  Carbohydrate metabolism
rxn04385,  Metabolism of cofactors and vitamins
rxn11537,  Metabolism of terpenoids and polyketides
rxn33900,  Carbohydrate metabolism
rxn01281,  Carbohydrate metabolism
rxn33062,
rxn05241,
rxn00603,
rxn02438,  Carbohydrate metabolism
rxn07897,  Xenobiotics biodegradation and metabolism
rxn47121,
rxn24314,  Metabolism of cofactors and vitamins
rxn01202,
rxn01825,  Amino acid metabolism
rxn10543,  Metabolism of cofactors and vitamins
rxn33766,  Metabolism of cofactors and vitamins
rxn38263,  Carbohydrate metabolism
rxn32193,  Amino acid metabolism
rxn07648,  Metabolism of terpenoids and polyketides
rxn32851,  Nucleotide metabolism
rxn41546,
rxn34733,  Lipid metabolism
rxn01634,  Carbohydrate metabolism
rxn20471,
rxn31394,
rxn03089,  Xenobiotics biodegradation and metabolism
EXpd00247,
rxn16163,  Metabolism of terpenoids and polyketides
rxn11743,  Amino acid metabolism
rxn12206,
rxn16054,  Metabolism of terpenoids and polyketides
rxn04374,  Lipid metabolism
rxn03540,  Metabolism of cofactors and vitamins
rxn11965,  Carbohydrate metabolism
rxn33016,  Metabolism of cofactors and vitamins
rxn02577,  Xenobiotics biodegradation and metabolism
rxn33166,  Metabolism of cofactors and vitamins
rxn16343,  Energy metabolism
rxn00752,  Amino acid metabolism
rxn16149,  Nucleotide metabolism
rxn02104,  Nucleotide metabolism
rxn00368,  Nucleotide metabolism
rxn10029,  Energy metabolism
rxn01715,  Amino acid metabolism
rxn00023,
rxn15782,  Metabolism of cofactors and vitamins
rxn37377,
rxn01343,
rxn16168,  Metabolism of terpenoids and polyketides
rxn16789,  Lipid metabolism
rxn02861,  Xenobiotics biodegradation and metabolism
rxn30020,
rxn03030,  Amino acid metabolism
rxn27893,  Amino acid metabolism
rxn15686,  Metabolism of terpenoids and polyketides
rxn03575,  Xenobiotics biodegradation and metabolism
rxn03963,  Amino acid metabolism
rxn08706,  Metabolism of cofactors and vitamins
rxn03766,  Biosynthesis of other secondary metabolites
rxn03395,  Metabolism of cofactors and vitamins
rxn33664,  Xenobiotics biodegradation and metabolism
rxn32132,  Amino acid metabolism
rxn33474,  Nucleotide metabolism
rxn16580,
rxn33412,  Lipid metabolism
rxn30336,  Lipid metabolism
rxn28198,
rxn16442,  Carbohydrate metabolism
rxn17765,  Amino acid metabolism
rxn27867,  Metabolism of cofactors and vitamins
rxn26474,  Metabolism of terpenoids and polyketides
rxn32828,  Metabolism of cofactors and vitamins
rxn03809,  Metabolism of terpenoids and polyketides
rxn01394,  Carbohydrate metabolism
rxn30339,  Amino acid metabolism
rxn09420,  Lipid metabolism
rxn16212,  Metabolism of other amino acids
rxn20782,  Energy metabolism
rxn01363,  Amino acid metabolism
rxn02974,  Carbohydrate metabolism
rxn19825,  Amino acid metabolism
rxn07621,  Metabolism of terpenoids and polyketides
rxn01504,  Amino acid metabolism
rxn15354,  Carbohydrate metabolism
rxn32572,  Amino acid metabolism
rxn16660,  Xenobiotics biodegradation and metabolism
rxn22819,
rxn33479,  Lipid metabolism
rxn31322,  Lipid metabolism
rxn07876,
rxn19830,  Nucleotide metabolism
rxn01474,  Carbohydrate metabolism
rxn03359,  Amino acid metabolism
rxn00720,  Nucleotide metabolism
rxn02144,  Xenobiotics biodegradation and metabolism
rxn02532,
rxn20204,
rxn08478,
rxn00007,  Carbohydrate metabolism
rxn03536,  Metabolism of cofactors and vitamins
rxn09733,  Xenobiotics biodegradation and metabolism
rxn33099,  Xenobiotics biodegradation and metabolism
rxn07623,  Xenobiotics biodegradation and metabolism
rxn00958,  Xenobiotics biodegradation and metabolism
rxn05205,  Nucleotide metabolism
rxn32434,  Metabolism of cofactors and vitamins
rxn21214,  Amino acid metabolism
rxn30143,  Carbohydrate metabolism
rxn17766,  Nucleotide metabolism
rxn37675,  Carbohydrate metabolism
rxn01096,  Xenobiotics biodegradation and metabolism
rxn05562,
rxn45777,
rxn10116,  Carbohydrate metabolism
rxn09803,  Xenobiotics biodegradation and metabolism
rxn16646,  Amino acid metabolism
rxn33486,
rxn02285,  Carbohydrate metabolism
rxn08194,
rxn33740,  Metabolism of other amino acids
rxn02496,
rxn09715,  Nucleotide metabolism
rxn30324,  Energy metabolism
rxn38381,  Metabolism of cofactors and vitamins
rxn33380,
rxn07264,  Lipid metabolism
rxn02900,  Metabolism of other amino acids
rxn09300,
rxn05949,
rxn02366,  Amino acid metabolism
rxn28199,  Carbohydrate metabolism
rxn22985,  Amino acid metabolism
rxn32559,  Amino acid metabolism
rxn09109,  Metabolism of cofactors and vitamins
rxn10175,
rxn27772,  Amino acid metabolism
rxn30194,  Amino acid metabolism
rxn30550,
rxn01586,  Lipid metabolism
rxn20619,
rxn00910,  Metabolism of cofactors and vitamins
rxn39245,
rxn03394,  Metabolism of cofactors and vitamins
rxn27265,
EXpd00075,
rxn00495,  Amino acid metabolism
rxn07587,  Metabolism of cofactors and vitamins
rxn01944,  Amino acid metabolism
rxn11663,
rxn10187,
rxn37645,  Metabolism of cofactors and vitamins
rxn17763,  Amino acid metabolism
rxn06887,  Metabolism of cofactors and vitamins
rxn29994,  Amino acid metabolism
rxn01516,  Nucleotide metabolism
rxn07477,
rxn30710,  Nucleotide metabolism
rxn19980,  Carbohydrate metabolism
rxn05159,  Nucleotide metabolism
rxn01647,  Metabolism of cofactors and vitamins
rxn33642,  Amino acid metabolism
rxn11713,  Lipid metabolism
rxn07756,  Biosynthesis of other secondary metabolites
rxn11203,
rxn00692,  Amino acid metabolism
rxn32748,  Nucleotide metabolism
rxn02380,  Carbohydrate metabolism
rxn04023,  Xenobiotics biodegradation and metabolism
rxn02540,  Xenobiotics biodegradation and metabolism
rxn32706,  Nucleotide metabolism
rxn03638,  Carbohydrate metabolism
rxn09448,  Lipid metabolism
rxn31585,  Amino acid metabolism
rxn34732,  Lipid metabolism
rxn43573,
rxn15748,  Amino acid metabolism
rxn36689,  Lipid metabolism
rxn04480,  Metabolism of terpenoids and polyketides
rxn38487,  Lipid metabolism
rxn30602,
rxn09102,  Metabolism of cofactors and vitamins
rxn33432,  Amino acid metabolism
rxn03334,  Amino acid metabolism
rxn04726,  Xenobiotics biodegradation and metabolism
rxn32025,  Carbohydrate metabolism
rxn01893,  Amino acid metabolism
rxn18678,  Nucleotide metabolism
rxn19855,  Amino acid metabolism
rxn04321,  Metabolism of terpenoids and polyketides
rxn00620,  Lipid metabolism
rxn28107,
rxn01422,  Amino acid metabolism
rxn14292,  Metabolism of terpenoids and polyketides
rxn11934,  Energy metabolism
rxn10504,  Metabolism of cofactors and vitamins
rxn14121,
rxn37912,
rxn08323,
rxn37995,  Carbohydrate metabolism
rxn38910,  Amino acid metabolism
rxn05877,
rxn27841,  Nucleotide metabolism
rxn07751,  Biosynthesis of other secondary metabolites
rxn01267,  Amino acid metabolism
rxn04378,  Lipid metabolism
rxn11838,  Xenobiotics biodegradation and metabolism
EXpd00214,
rxn28987,
rxn16410,
rxn00779,  Carbohydrate metabolism
rxn38113,  Carbohydrate metabolism
rxn00346,  Metabolism of other amino acids
rxn01256,  Amino acid metabolism
rxn01003,  Amino acid metabolism
rxn12776,  Carbohydrate metabolism
rxn36081,
rxn05126,  Amino acid metabolism
rxn32462,  Energy metabolism
rxn12996,
rxn16399,
rxn03724,  Xenobiotics biodegradation and metabolism
rxn02926,  Amino acid metabolism
rxn00994,  Amino acid metabolism
rxn08344,
rxn32155,
rxn13231,  Xenobiotics biodegradation and metabolism
rxn00345,  Amino acid metabolism
rxn03440,  Carbohydrate metabolism
EXpd03586,
rxn25164,  Carbohydrate metabolism
rxn15619,  Metabolism of terpenoids and polyketides
rxn27845,  Metabolism of terpenoids and polyketides
rxn10180,  Metabolism of cofactors and vitamins
rxn01019,  Amino acid metabolism
rxn01626,  Nucleotide metabolism
rxn38718,  Metabolism of cofactors and vitamins
rxn35492,
rxn09307,
rxn38117,  Carbohydrate metabolism
rxn02288,  Metabolism of cofactors and vitamins
rxn38981,  Carbohydrate metabolism
rxn15257,  Carbohydrate metabolism
rxn15219,  Carbohydrate metabolism
rxn16544,
rxn07519,  Xenobiotics biodegradation and metabolism
rxn20617,  Amino acid metabolism
rxn05730,
EXpd00104,
rxn30355,  Amino acid metabolism
rxn16695,  Metabolism of terpenoids and polyketides
rxn16131,  Xenobiotics biodegradation and metabolism
rxn00539,  Lipid metabolism
rxn02483,  Xenobiotics biodegradation and metabolism
rxn11900,  Metabolism of cofactors and vitamins
rxn01778,
rxn03445,  Metabolism of cofactors and vitamins
rxn16355,  Energy metabolism
rxn01847,  Carbohydrate metabolism
rxn16698,  Metabolism of terpenoids and polyketides
rxn06023,  Metabolism of cofactors and vitamins
rxn08521,
rxn20496,
rxn12510,  Metabolism of cofactors and vitamins
rxn01648,  Nucleotide metabolism
rxn33526,
rxn32387,  Carbohydrate metabolism
rxn16090,  Xenobiotics biodegradation and metabolism
EXpd00269,
rxn02899,  Xenobiotics biodegradation and metabolism
rxn33241,
rxn38077,  Carbohydrate metabolism
rxn06200,
rxn01446,  Nucleotide metabolism
rxn07904,  Xenobiotics biodegradation and metabolism
rxn47055,
rxn13999,  Carbohydrate metabolism
rxn31326,  Lipid metabolism
rxn44831,
rxn00707,  Nucleotide metabolism
rxn32560,  Carbohydrate metabolism
rxn12038,  Xenobiotics biodegradation and metabolism
rxn03884,  Carbohydrate metabolism
rxn15078,
rxn02267,
rxn11657,  Xenobiotics biodegradation and metabolism
rxn16612,  Glycan biosynthesis and metabolism
rxn40577,
rxn02770,  Carbohydrate metabolism
rxn16560,
rxn38829,  Carbohydrate metabolism
rxn09126,  Metabolism of cofactors and vitamins
rxn01994,  Xenobiotics biodegradation and metabolism
rxn34053,  Carbohydrate metabolism
rxn28238,  Energy metabolism
rxn05663,
rxn11565,  Metabolism of cofactors and vitamins
rxn26472,  Metabolism of terpenoids and polyketides
rxn11674,  Metabolism of terpenoids and polyketides
rxn07241,
rxn03876,  Xenobiotics biodegradation and metabolism
rxn34735,  Lipid metabolism
rxn05682,
rxn37586,
rxn19988,
rxn05256,
rxn01364,  Amino acid metabolism
rxn13150,  Metabolism of cofactors and vitamins
rxn00999,  Amino acid metabolism
rxn15048,  Carbohydrate metabolism
rxn27785,  Carbohydrate metabolism
rxn01669,  Metabolism of cofactors and vitamins
rxn35246,
rxn02788,  Xenobiotics biodegradation and metabolism
rxn34257,
rxn24414,
rxn01885,  Metabolism of other amino acids
rxn20227,  Carbohydrate metabolism
EXpd08625,
rxn14274,  Lipid metabolism
rxn06848,  Glycan biosynthesis and metabolism
rxn16798,  Carbohydrate metabolism
rxn38489,  Lipid metabolism
rxn13976,
rxn31250,  Lipid metabolism
rxn33507,
rxn00538,  Lipid metabolism
rxn01522,  Nucleotide metabolism
rxn39004,  Biosynthesis of other secondary metabolites
rxn09001,  Metabolism of terpenoids and polyketides
rxn34259,
lipid_rxn,
rxn16565,
rxn32752,
rxn09865,  Xenobiotics biodegradation and metabolism
rxn16617,  Amino acid metabolism
rxn01565,  Amino acid metabolism
rxn27876,  Carbohydrate metabolism
rxn35553,  Amino acid metabolism
rxn16761,  Metabolism of terpenoids and polyketides
rxn16760,  Metabolism of terpenoids and polyketides
rxn15276,  Carbohydrate metabolism
rxn03560,  Xenobiotics biodegradation and metabolism
rxn31381,  Carbohydrate metabolism
rxn10997,
rxn10105,  Energy metabolism
rxn09228,  Metabolism of other amino acids
rxn38810,
rxn34760,  Carbohydrate metabolism
rxn12147,  Carbohydrate metabolism
EXpd00388,
rxn13752,
rxn05963,  Lipid metabolism
rxn16341,  Energy metabolism
rxn01927,  Amino acid metabolism
rxn04322,  Metabolism of terpenoids and polyketides
rxn25494,  Metabolism of cofactors and vitamins
rxn16823,  Metabolism of cofactors and vitamins
rxn00394,  Amino acid metabolism
rxn01827,  Metabolism of cofactors and vitamins
rxn10089,  Energy metabolism
rxn32924,
rxn04526,  Metabolism of terpenoids and polyketides
EXpd00300,
rxn16495,
rxn01817,  Carbohydrate metabolism
rxn34718,  Lipid metabolism
rxn16713,
rxn16082,  Xenobiotics biodegradation and metabolism
rxn05291,  Lipid metabolism
rxn15625,  Metabolism of terpenoids and polyketides
rxn43048,
rxn02896,  Biosynthesis of other secondary metabolites
rxn11684,
rxn25216,  Carbohydrate metabolism
rxn02533,
rxn32974,  Nucleotide metabolism
rxn23798,  Metabolism of cofactors and vitamins
rxn34779,  Carbohydrate metabolism
rxn19034,  Carbohydrate metabolism
rxn17239,  Metabolism of cofactors and vitamins
rxn01200,  Carbohydrate metabolism
rxn40664,
rxn04025,  Amino acid metabolism
rxn31792,  Amino acid metabolism
rxn43642,
rxn27286,  Glycan biosynthesis and metabolism
EXpd01242,
rxn01048,  Energy metabolism
rxn39301,
rxn28025,  Carbohydrate metabolism
rxn04787,  Amino acid metabolism
rxn15139,  Carbohydrate metabolism
rxn02552,  Carbohydrate metabolism
EXpd00305,
rxn00143,  Amino acid metabolism
rxn03644,  Energy metabolism
rxn06912,  Xenobiotics biodegradation and metabolism
rxn35655,
rxn10157,  Energy metabolism
rxn05289,  Nucleotide metabolism
rxn19683,
rxn31424,  Carbohydrate metabolism
rxn06227,
rxn15098,  Carbohydrate metabolism
rxn00722,  Xenobiotics biodegradation and metabolism
rxn04033,  Xenobiotics biodegradation and metabolism
rxn38241,  Metabolism of cofactors and vitamins
rxn24149,  Metabolism of cofactors and vitamins
rxn10281,  Energy metabolism
rxn05127,  Amino acid metabolism
rxn03864,  Xenobiotics biodegradation and metabolism
rxn16632,
rxn03747,  Xenobiotics biodegradation and metabolism
rxn03513,  Metabolism of cofactors and vitamins
rxn21114,  Amino acid metabolism
rxn00656,  Metabolism of other amino acids
rxn03517,  Carbohydrate metabolism
rxn00937,  Metabolism of other amino acids
rxn06348,  Carbohydrate metabolism
rxn14322,  Lipid metabolism
rxn16827,  Nucleotide metabolism
rxn07608,  Xenobiotics biodegradation and metabolism
rxn32684,  Carbohydrate metabolism
rxn00829,  Metabolism of terpenoids and polyketides
EXpd00971,
rxn34523,  Metabolism of cofactors and vitamins
rxn02122,  Carbohydrate metabolism
rxn07374,  Metabolism of terpenoids and polyketides
EXpd00041,
rxn05197,  Nucleotide metabolism
rxn26476,  Metabolism of terpenoids and polyketides
rxn07644,  Xenobiotics biodegradation and metabolism
EXpd00277,
rxn24332,
rxn01035,  Xenobiotics biodegradation and metabolism
rxn20046,
rxn12579,  Metabolism of cofactors and vitamins
rxn00141,  Amino acid metabolism
rxn35436,  Nucleotide metabolism
rxn04705,  Metabolism of cofactors and vitamins
rxn46208,
rxn04274,  Metabolism of terpenoids and polyketides
rxn08879,
rxn03317,  Lipid metabolism
rxn00421,
rxn04134,  Metabolism of terpenoids and polyketides
rxn04928,  Carbohydrate metabolism
rxn33738,  Lipid metabolism
rxn09433,  Lipid metabolism
rxn02728,  Amino acid metabolism
rxn15047,  Carbohydrate metabolism
rxn16238,  Energy metabolism
rxn16597,
rxn38046,
rxn27334,
rxn03613,  Biosynthesis of other secondary metabolites
rxn10621,  Amino acid metabolism
rxn04052,  Metabolism of cofactors and vitamins
rxn04954,  Metabolism of cofactors and vitamins
rxn31217,  Carbohydrate metabolism
rxn04513,  Metabolism of terpenoids and polyketides
EXpd00137,
rxn03421,  Metabolism of cofactors and vitamins
EXpd00054,
rxn35692,  Metabolism of other amino acids
rxn07484,  Xenobiotics biodegradation and metabolism
rxn28327,
rxn02796,  Lipid metabolism
rxn15656,  Carbohydrate metabolism
rxn00285,  Carbohydrate metabolism
rxn04074,  Xenobiotics biodegradation and metabolism
rxn15480,
rxn31439,  Lipid metabolism
GmNegellwall,
rxn16664,
rxn27774,
rxn04295,  Metabolism of terpenoids and polyketides
rxn34717,  Lipid metabolism
rxn03488,  Carbohydrate metabolism
rxn03512,  Metabolism of cofactors and vitamins
rxn02345,  Lipid metabolism
EXpd00207,
rxn04082,  Carbohydrate metabolism
rxn01510,  Nucleotide metabolism
rxn26463,  Metabolism of terpenoids and polyketides
rxn04298,  Metabolism of terpenoids and polyketides
rxn16135,  Xenobiotics biodegradation and metabolism
rxn09450,  Lipid metabolism
rxn31942,  Nucleotide metabolism
rxn02171,  Carbohydrate metabolism
rxn31548,
rxn20655,  Carbohydrate metabolism
rxn03555,  Xenobiotics biodegradation and metabolism
rxn14293,  Metabolism of terpenoids and polyketides
rxn15849,  Biosynthesis of other secondary metabolites
rxn00302,  Metabolism of cofactors and vitamins
rxn03236,
rxn30432,  Lipid metabolism
EXpd01080,
rxn30388,  Metabolism of cofactors and vitamins
rxn19018,  Carbohydrate metabolism
rxn35427,  Carbohydrate metabolism
rxn03897,  Xenobiotics biodegradation and metabolism
rxn16783,
rxn29473,
rxn14120,  Metabolism of cofactors and vitamins
rxn03023,  Carbohydrate metabolism
rxn33391,  Metabolism of cofactors and vitamins
rxn11778,  Xenobiotics biodegradation and metabolism
rxn11835,  Xenobiotics biodegradation and metabolism
rxn08771,  Nucleotide metabolism
rxn08084,
rxn15352,  Carbohydrate metabolism
rxn29210,  Metabolism of terpenoids and polyketides
rxn04510,  Metabolism of terpenoids and polyketides
rxn07760,  Biosynthesis of other secondary metabolites
rxn02905,  Lipid metabolism
rxn15095,  Carbohydrate metabolism
rxn02253,  Carbohydrate metabolism
rxn15155,  Carbohydrate metabolism
rxn06485,
rxn00327,  Nucleotide metabolism
rxn04706,  Amino acid metabolism
rxn14246,
rxn01670,  Metabolism of cofactors and vitamins
rxn01830,  Carbohydrate metabolism
rxn14353,
rxn32969,  Nucleotide metabolism
rxn04158,  Metabolism of cofactors and vitamins
rxn00895,  Carbohydrate metabolism
rxn02403,  Amino acid metabolism
rxn28979,  Amino acid metabolism
rxn04514,  Metabolism of terpenoids and polyketides
rxn00416,  Amino acid metabolism
rxn03792,  Xenobiotics biodegradation and metabolism
rxn01515,  Nucleotide metabolism
rxn28001,  Carbohydrate metabolism
rxn15131,  Carbohydrate metabolism
rxn30096,  Lipid metabolism
rxn41564,
rxn15996,  Xenobiotics biodegradation and metabolism
rxn03200,  Lipid metabolism
rxn29004,
rxn30135,  Amino acid metabolism
rxn16150,  Carbohydrate metabolism
rxn09637,  Xenobiotics biodegradation and metabolism
rxn15882,
rxn05560,
rxn04012,  Lipid metabolism
rxn02949,  Amino acid metabolism
rxn05123,  Amino acid metabolism
rxn03260,  Lipid metabolism
rxn03504,  Carbohydrate metabolism
rxn06145,  Lipid metabolism
rxn04935,  Amino acid metabolism
rxn15169,  Lipid metabolism
rxn38115,  Carbohydrate metabolism
rxn15864,  Biosynthesis of other secondary metabolites
rxn00765,  Lipid metabolism
rxn00101,  Nucleotide metabolism
rxn03140,  Glycan biosynthesis and metabolism
rxn27536,  Energy metabolism
rxn00462,  Metabolism of other amino acids
rxn37861,  Biosynthesis of other secondary metabolites
