Reaction,Annotation
rxn02304, Metabolism of cofactors and vitamins
rxn35283, Amino acid metabolism
rxn30368,
rxn05301, Lipid metabolism
rxn02791, Metabolism of other amino acids
rxn01844, Lipid metabolism
rxn04516, Metabolism of terpenoids and polyketides
rxn11778, Xenobiotics biodegradation and metabolites
rxn07524, Xenobiotics biodegradation and metabolites
rxn38243, Amino acid metabolism
rxn08518,
rxn16176, Metabolism of terpenoids and polyketides
rxn04331, Metabolism of terpenoids and polyketides
rxn32076, Glycan biosynthesis and metabolism
rxn01991, Amino acid metabolism
rxn04587, Biosynthesis of other secondary metabolites
rxn05236, Nucleotide metabolism
rxn33688, Biosynthesis of other secondary metabolites
rxn32938, Metabolism of cofactors and vitamins
rxn32091, Carbohydrate metabolism
rxn35692, Metabolism of other amino acids
cofactor_rxn,
rxn15496, Lipid metabolism
rxn00106,
rxn10280, Energy metabolism
EXpd00412,
rxn28146,
rxn04913, Lipid metabolism
rxn34632, Carbohydrate metabolism
rxn15049, Nucleotide metabolism
rxn03334, Amino acid metabolism
rxn02676, Carbohydrate metabolism
rxn02929, Amino acid metabolism
rxn25059,
rxn31424, Carbohydrate metabolism
rxn38135,
rxn02894, Amino acid metabolism
rxn31984, Lipid metabolism
rxn33337,
rxn33242,
rxn15656, Carbohydrate metabolism
rxn17678, Lipid metabolism
rxn01545, Nucleotide metabolism
rxn09862, Xenobiotics biodegradation and metabolites
rxn31325, Lipid metabolism
rxn07889, Xenobiotics biodegradation and metabolites
rxn34733, Lipid metabolism
rxn06874, Energy metabolism
rxn25583, Biosynthesis of other secondary metabolites
rxn00465,
rxn23799, Metabolism of cofactors and vitamins
rxn33166, Metabolism of cofactors and vitamins
rxn04196, Metabolism of terpenoids and polyketides
rxn11810, Xenobiotics biodegradation and metabolites
rxn32569, Carbohydrate metabolism
rxn20649, Amino acid metabolism
EXpd01414,
rxn00407, Nucleotide metabolism
rxn07885,
rxn03936, Xenobiotics biodegradation and metabolites
rxn16613, Glycan biosynthesis and metabolism
rxn31758, Metabolism of other amino acids
rxn04989,
rxn00435, Xenobiotics biodegradation and metabolites
rxn36480, Lipid metabolism
rxn08231,
