,Component 1,Component 2,Label,Classification
0,738.6002586532811,1954.5663735638466,1596.253.sbml.csv,Vaginal Probiotic
1,349.0778802685011,2809.2442451043953,1596.253.sbml.csv,Vaginal Probiotic
2,-483.57977150170416,1955.1602627141417,1596.253.sbml.csv,Vaginal Probiotic
3,-237.00406390591093,2510.9611018132423,1596.253.sbml.csv,Vaginal Probiotic
4,-589.389333862166,2247.5813870812735,1596.253.sbml.csv,Vaginal Probiotic
5,-657.9913545076868,1537.9374675312995,1596.253.sbml.csv,Vaginal Probiotic
6,-1041.1193748042335,2321.164613514314,1596.253.sbml.csv,Vaginal Probiotic
7,-1812.58602776668,2375.0963243331894,1596.253.sbml.csv,Vaginal Probiotic
8,-2066.8741190307496,2167.645407746207,1596.253.sbml.csv,Vaginal Probiotic
9,-2458.915611542377,3629.4857784858573,1596.253.sbml.csv,Vaginal Probiotic
10,954.2846714181314,1888.759525638962,1596.253.sbml.csv,Vaginal Probiotic
11,-3330.986472927478,2018.8630980706491,1596.253.sbml.csv,Vaginal Probiotic
12,62.043608983467855,4075.009372968417,1596.253.sbml.csv,Vaginal Probiotic
13,1264.6238245939833,2560.2972669834007,1596.253.sbml.csv,Vaginal Probiotic
14,-1919.3603982785087,2140.4856291069823,1596.253.sbml.csv,Vaginal Probiotic
15,-228.31087014674915,2006.4866730171095,1596.253.sbml.csv,Vaginal Probiotic
16,-1735.204726554436,2112.6167779836383,1596.253.sbml.csv,Vaginal Probiotic
17,-2519.320157311229,2249.357331110845,1596.253.sbml.csv,Vaginal Probiotic
18,-1495.1576336345101,3224.431978408721,1596.253.sbml.csv,Vaginal Probiotic
19,-2481.98070780878,1190.2124401475414,1596.253.sbml.csv,Vaginal Probiotic
20,596.1728688687563,1895.6795611476143,1596.253.sbml.csv,Vaginal Probiotic
21,-916.296967581186,3167.2778583812783,1596.253.sbml.csv,Vaginal Probiotic
22,-97.27092590476302,3389.38785026941,1596.253.sbml.csv,Vaginal Probiotic
23,-818.4983433918426,2269.5669069376886,1596.253.sbml.csv,Vaginal Probiotic
24,579.826131491262,3468.5634853111105,1596.253.sbml.csv,Vaginal Probiotic
25,171.9820313389686,3249.257782761159,1596.253.sbml.csv,Vaginal Probiotic
26,-1601.0580176023072,3178.4684937228226,1596.253.sbml.csv,Vaginal Probiotic
