Reaction,Annotation
rxn01730,Lipid
rxn29248,Amino acid
rxn32840,Cofactors and vitamins
rxn00491,Amino acid
rxn01451,Lipid
rxn01112,Carbohydrate
rxn00411,
rxn38856,Carbohydrate
rxn15065,
rxn32821,Carbohydrate
rxn01054,Carbohydrate
rxn01137,Nucleotide
rxn00422,Amino acid
rxn20606,
