Reaction,Annotation
rxn41564,
rxn03200,Lipid
rxn00625,
rxn11007,Amino acid
rxn32289,
rxn07606,Xenobiotics
rxn00429,Xenobiotics
rxn01690,Lipid
rxn15334,Nucleotide
EXpd00356,
rxn37266,Cofactors and vitamins
rxn03806,Terpenoids and polyketides
rxn33602,
rxn34538,
rxn17704,
rxn36687,Lipid
EXpd00533,
rxn09288,
rxn01166,Lipid
rxn30153,
rxn07168,Secondary metabolites
rxn02756,Cofactors and vitamins
rxn02768,Carbohydrate
rxn08311,
rxn11077,Cofactors and vitamins
rxn00703,
rxn15112,Nucleotide
rxn39598,
rxn00148,Carbohydrate
rxn16139,Energy
rxn09889,Xenobiotics
rxn04311,Terpenoids and polyketides
rxn38543,Cofactors and vitamins
rxn08168,Cofactors and vitamins
rxn29986,Nucleotide
rxn44951,
rxn30021,Carbohydrate
rxn08447,
rxn31793,Terpenoids and polyketides
rxn12931,
rxn06883,Carbohydrate
rxn14207,Energy
rxn03201,Lipid
rxn01442,
rxn26196,
rxn12881,
rxn08066,
EXpd00353,
rxn32757,Energy
rxn01141,
rxn13106,Nucleotide
rxn09338,Lipid
rxn39013,Xenobiotics
rxn00146,Carbohydrate
rxn28350,Cofactors and vitamins
rxn09720,Amino acid
rxn36685,Lipid
rxn36392,Lipid
rxn04740,Xenobiotics
rxn08019,
rxn39322,Lipid
rxn27228,Nucleotide
rxn04952,
rxn01869,Carbohydrate
rxn03918,Glycan
rxn31565,Cofactors and vitamins
rxn16321,Carbohydrate
rxn12592,Cofactors and vitamins
rxn08761,Lipid
rxn00118,
rxn09326,
EXpd00609,
rxn13116,
rxn15860,Secondary metabolites
rxn00183,Amino acid
rxn33589,Xenobiotics
rxn09824,Xenobiotics
rxn38905,Amino acid
rxn00971,Energy
rxn04789,Amino acid
rxn00688,Cofactors and vitamins
rxn00530,Amino acid
rxn11601,
rxn05316,Lipid
EXpd00216,
rxn16024,Xenobiotics
rxn29179,Carbohydrate
rxn00851,
rxn28110,Carbohydrate
rxn29628,Carbohydrate
rxn10906,Cofactors and vitamins
rxn02509,Cofactors and vitamins
rxn08459,Cofactors and vitamins
rxn29991,
EXpd00010,
rxn08922,
rxn01663,Amino acid
rxn01299,Nucleotide
rxn11759,Xenobiotics
rxn31182,Cofactors and vitamins
rxn30592,Nucleotide
rxn07755,Secondary metabolites
rxn05317,Lipid
rxn24321,
rxn03764,Secondary metabolites
rxn33591,Xenobiotics
rxn00105,Cofactors and vitamins
rxn31084,Amino acid
rxn15632,Carbohydrate
rxn10432,
rxn00364,Nucleotide
rxn10615,Amino acid
rxn15094,Amino acid
rxn13409,Terpenoids and polyketides
rxn31767,Nucleotide
rxn15847,Secondary metabolites
rxn05734,
rxn15116,Carbohydrate
rxn09462,Amino acid
rxn08242,
rxn34267,Carbohydrate
rxn00282,Amino acid
rxn19993,Amino acid
rxn09442,Lipid
rxn00392,Cofactors and vitamins
rxn03920,Xenobiotics
rxn12264,
rxn15500,Amino acid
rxn02466,Amino acid
rxn02404,Glycan
rxn44864,
rxn32862,Lipid
rxn30218,
rxn00737,Amino acid
rxn11751,Amino acid
rxn29237,Xenobiotics
rxn02888,Amino acid
rxn14229,
rxn15873,Terpenoids and polyketides
rxn03716,Xenobiotics
rxn00104,Cofactors and vitamins
rxn27897,Amino acid
rxn08044,Carbohydrate
rxn00252,Carbohydrate
rxn24940,
rxn09370,
rxn05636,
rxn14191,Carbohydrate
rxn15147,Nucleotide
rxn14276,Lipid
rxn16328,
rxn30717,Glycan
rxn37888,Carbohydrate
rxn06610,Lipid
rxn03762,Secondary metabolites
rxn00931,Amino acid
rxn34712,Lipid
rxn20163,Amino acid
rxn00409,Nucleotide
rxn16193,Terpenoids and polyketides
rxn14048,Carbohydrate
rxn12169,
rxn10098,Energy
rxn29456,Carbohydrate
rxn02028,Amino acid
rxn29365,Carbohydrate
rxn11858,Energy
rxn03487,Carbohydrate
rxn11207,
rxn26130,Carbohydrate
rxn03533,Cofactors and vitamins
rxn09355,
rxn00806,Amino acid
rxn01739,Amino acid
rxn07254,Lipid
rxn01219,Nucleotide
rxn11902,Cofactors and vitamins
rxn37980,
rxn32486,Carbohydrate
rxn01314,Cofactors and vitamins
rxn16620,Amino acid
rxn26478,Terpenoids and polyketides
rxn30446,Nucleotide
rxn19240,
rxn05693,
rxn02696,Carbohydrate
rxn15190,Carbohydrate
rxn00709,Nucleotide
rxn33815,Amino acid
rxn16838,Cofactors and vitamins
rxn00267,Amino acid
rxn01680,Amino acid
rxn35456,Cofactors and vitamins
rxn48018,
rxn03050,
rxn03130,Glycan
