Component 1,Component 2,Label,Species,Classification
-309.2463043,-339.6386078,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-1064.238903,2173.743269,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-1087.825407,-324.799713,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-986.0590036,-241.3351282,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-911.3269715,952.8170302,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-763.8220579,1815.062451,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-38.84593553,1064.888655,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-611.9247155,1384.703974,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-906.7887966,909.4831738,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-695.4309103,1938.911589,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-561.6813189,2335.793709,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-1219.859699,1271.549601,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-154.193635,1640.235159,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-530.3014001,229.4899968,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-1113.160078,1477.64234,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-2223.122418,929.7473428,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-1181.237315,635.429691,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-909.4541268,-265.8737023,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-1993.587532,-315.321932,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-914.0268918,392.7674585,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-255.7616265,341.3791688,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-1660.998702,1463.612917,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
552.6109878,563.4167092,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-243.5072001,590.8958027,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-2539.586035,460.3178768,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
445.5969398,1149.706595,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-863.9401643,679.5199063,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
13.75956447,872.8055409,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
134.0348755,-429.2243526,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
779.9368777,339.619029,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-932.9420532,186.080754,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-652.4781309,-1331.071935,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-191.1082514,-809.8379842,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-727.6161133,763.2498985,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-160.4540889,994.569892,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-1829.825813,7.388496794,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-774.7422477,1503.072336,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-1293.453425,569.6193649,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-1050.820051,869.1150381,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-2681.512857,904.393774,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-86.39885785,368.5290851,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
-327.3258017,992.188792,1348632.3.sbml.csv,Lactococcus plantarum,Streptococcaceae
3295.802426,987.6204102,224308.43.sbml.csv,Bacillus subtilis,Bacillaceae
