Duration (Hours),PGY (Modified) Media,PGY (Modified) Media,PGY (Modified) Media,A. christensenii SM,A. christensenii SM,A. christensenii SM,F. vaginae SM,F. vaginae SM,F. vaginae SM,A. tetradius SM,A. tetradius SM,A. tetradius SM,E. massiliensis SM,E. massiliensis SM,E. massiliensis SM,C. bergeronii SM,C. bergeronii SM,C. bergeronii SM,A. marseille SM,A. marseille SM,A. marseille SM,L. jensenii SM,L. jensenii SM,L. jensenii SM,A. lactolyticus SM,A. lactolyticus SM,A. lactolyticus SM,P. vaginalis SM,P. vaginalis SM,P. vaginalis SM,V. bacterium SM,V. bacterium SM,V. bacterium SM,M. curtisii SM,M. curtisii SM,M. curtisii SM
1.08,0.078333333,0.059233333,0.009533333,0.0301,0.0572,0.0127,0.0419,0.0511,0.0249,0.030133333,0.047633333,0.013533333,0.041833333,0.043533333,0.017533333,0.015133333,0.011633333,-0.029866667,0.050966667,0.061566667,0.025966667,0.0419,0.0479,0.0101,0.0462,0.047,0.0252,0.0593,0.0765,0.0108,0.055933333,0.056833333,0.034133333,0.056266667,0.059166667,0.033866667
1.17,0.078633333,0.058833333,0.011033333,0.031233333,0.057533333,0.011433333,0.042266667,0.052166667,0.024466667,0.030366667,0.048466667,0.013066667,0.043466667,0.046566667,0.019966667,0.015833333,0.012133333,-0.026966667,0.051233333,0.060733333,0.025433333,0.0405,0.0462,0.0071,0.046433333,0.047133333,0.026233333,0.059566667,0.076466667,0.016066667,0.0567,0.0578,0.0345,0.058133333,0.060733333,0.034033333
1.25,0.0798,0.057,0.0112,0.032133333,0.056033333,0.012533333,0.041633333,0.050933333,0.025733333,0.029033333,0.046333333,0.011433333,0.046566667,0.050566667,0.023266667,0.0158,0.0137,-0.0272,0.053333333,0.060933333,0.027033333,0.040466667,0.045666667,0.005466667,0.047433333,0.049033333,0.027733333,0.058733333,0.076933333,0.014833333,0.057566667,0.058566667,0.036666667,0.0578,0.0599,0.0343
1.33,0.0778,0.0586,0.0091,0.0329,0.0575,0.0127,0.041833333,0.050833333,0.024733333,0.030933333,0.046533333,0.011233333,0.045866667,0.051866667,0.023966667,0.0187,0.0171,-0.0247,0.053933333,0.063533333,0.024633333,0.039766667,0.045066667,0.003366667,0.049166667,0.052866667,0.031366667,0.059833333,0.076433333,0.018233333,0.056833333,0.058633333,0.037033333,0.059933333,0.060033333,0.034633333
1.42,0.0802,0.0591,0.0083,0.0358,0.0599,0.0138,0.041433333,0.050733333,0.024733333,0.0329,0.0491,0.0138,0.050833333,0.054433333,0.028933333,0.018866667,0.018566667,-0.021133333,0.055866667,0.064866667,0.026766667,0.039733333,0.045233333,0.004833333,0.048933333,0.051033333,0.030933333,0.059166667,0.075966667,0.013666667,0.0583,0.0585,0.0393,0.061133333,0.061033333,0.036233333
1.5,0.080766667,0.059366667,0.009166667,0.0368,0.0617,0.0169,0.043566667,0.050666667,0.026066667,0.033933333,0.048133333,0.014133333,0.051066667,0.055366667,0.027466667,0.019633333,0.018533333,-0.021966667,0.0567,0.0661,0.0267,0.039666667,0.043266667,0.005166667,0.049866667,0.054266667,0.031866667,0.0614,0.0765,0.0114,0.060766667,0.061066667,0.040766667,0.060166667,0.063366667,0.036866667
1.58,0.083833333,0.062433333,0.013233333,0.0372,0.0624,0.0202,0.044,0.0521,0.028,0.0359,0.0463,0.0162,0.051733333,0.058433333,0.030333333,0.023133333,0.023033333,-0.017666667,0.0594,0.0681,0.0287,0.0408,0.0435,0.006,0.050366667,0.053066667,0.030866667,0.0617,0.077,0.011,0.062466667,0.063366667,0.041066667,0.0606,0.0659,0.0395
1.67,0.0858,0.0636,0.0133,0.038433333,0.062533333,0.021233333,0.044666667,0.051566667,0.030266667,0.036333333,0.049133333,0.016233333,0.055,0.0622,0.0338,0.021233333,0.022433333,-0.018566667,0.0591,0.0684,0.0302,0.040466667,0.043166667,0.005366667,0.050666667,0.054466667,0.030866667,0.0632,0.079,0.0127,0.063433333,0.065433333,0.041733333,0.063466667,0.066966667,0.041366667
1.75,0.085033333,0.064433333,0.012433333,0.0392,0.0622,0.0209,0.0451,0.0523,0.0301,0.034766667,0.048966667,0.014966667,0.057566667,0.065166667,0.035766667,0.022366667,0.023466667,-0.017733333,0.061833333,0.069733333,0.032633333,0.04,0.0434,0.0026,0.052366667,0.055566667,0.029866667,0.066566667,0.079166667,0.015566667,0.066,0.0651,0.0424,0.062633333,0.065533333,0.039333333
1.83,0.0841,0.0646,0.0127,0.042433333,0.064733333,0.022633333,0.046066667,0.052866667,0.029766667,0.035866667,0.048966667,0.016766667,0.059433333,0.068233333,0.039333333,0.0245,0.0262,-0.015,0.0638,0.0712,0.0335,0.040933333,0.044633333,0.002333333,0.056066667,0.057966667,0.032666667,0.0666,0.08,0.0179,0.065566667,0.065166667,0.042066667,0.0612,0.0671,0.0387
