,Component 1,Component 2,Label,Classification
0,-1201.018363565647,-1123.25380282812,1735.14.sbml.csv,Commensal
1,-2008.6936939476088,684.8269934477456,1735.14.sbml.csv,Commensal
2,-1296.9047451030917,-130.93475565189806,1735.14.sbml.csv,Commensal
3,-978.4435951612494,-1536.5898148586537,1735.14.sbml.csv,Commensal
4,-2069.827483401793,21.437113977957523,1735.14.sbml.csv,Commensal
5,-1455.0212340541298,-1258.8898525216307,1735.14.sbml.csv,Commensal
6,-2277.2893764647797,931.5929283181705,1735.14.sbml.csv,Commensal
7,-2058.3120716589137,1073.7194684956892,1735.14.sbml.csv,Commensal
8,-1188.1669214935162,1160.5052808860178,1735.14.sbml.csv,Commensal
9,-1249.1216409291605,-277.00991835059347,1735.14.sbml.csv,Commensal
10,-2792.0012135010174,-167.5099965123972,1735.14.sbml.csv,Commensal
11,-1188.6263591329753,1664.650596065116,1735.14.sbml.csv,Commensal
12,-2053.4442962378,1282.0881594307166,1735.14.sbml.csv,Commensal
13,231.62106848617225,-2430.26891202184,1735.14.sbml.csv,Commensal
14,-1421.5885982335617,559.623874878314,1735.14.sbml.csv,Commensal
15,-1331.3525463934134,-1659.4396559472395,1735.14.sbml.csv,Commensal
16,-2540.074624011564,-143.6132810696928,1735.14.sbml.csv,Commensal
17,-734.4670278128677,-1346.4559957559236,1735.14.sbml.csv,Commensal
18,584.8633744557861,-2367.4822127670996,1735.14.sbml.csv,Commensal
19,-2252.0750255363537,741.3326427484839,1735.14.sbml.csv,Commensal
20,-2021.5125848206926,549.3495882738913,1735.14.sbml.csv,Commensal
21,-288.0571930498995,-1547.5544772167873,1735.14.sbml.csv,Commensal
22,-143.97134975600372,-2521.694934501824,1735.14.sbml.csv,Commensal
23,-2458.6460454696507,1686.087256099929,1735.14.sbml.csv,Commensal
24,-1788.5776218575888,246.22033944569404,1735.14.sbml.csv,Commensal
25,-1930.283724383626,840.6025338469645,1735.14.sbml.csv,Commensal
26,551.6011397469209,-2437.6186341310527,1735.14.sbml.csv,Commensal
27,-3199.78939723407,1379.956135896689,1735.14.sbml.csv,Commensal
28,-2720.518214304264,1587.4682514508133,1735.14.sbml.csv,Commensal
29,-1624.433107657808,-1592.5405078580552,1735.14.sbml.csv,Commensal
30,-639.1224400136352,-233.76440758837055,1735.14.sbml.csv,Commensal
31,-1000.7578531467929,-477.81531905472855,1735.14.sbml.csv,Commensal
32,-1027.9773132205335,-1242.9723276797754,1735.14.sbml.csv,Commensal
33,372.6195833970296,-2575.9126234912715,1735.14.sbml.csv,Commensal
34,-120.55496936369337,-1420.3651865497982,1735.14.sbml.csv,Commensal
35,-1959.3403437376965,-116.12133296614209,1735.14.sbml.csv,Commensal
36,-1744.8529953590714,343.7216904287251,1735.14.sbml.csv,Commensal
37,-2629.1478770821177,1022.0507705977544,1735.14.sbml.csv,Commensal
38,-993.6136350443229,-1411.6755585059566,1735.14.sbml.csv,Commensal
39,-1287.7462312805035,-1461.1475229183764,1735.14.sbml.csv,Commensal
40,-1878.8515731520476,-991.4627473124489,1735.14.sbml.csv,Commensal
41,-2331.6769311454236,1482.601511912843,1735.14.sbml.csv,Commensal
42,-801.7914545907389,-879.8908185887618,1735.14.sbml.csv,Commensal
43,-918.1290212241289,-1535.51548823612,1735.14.sbml.csv,Commensal
44,-1672.4843669959325,-130.52557457163817,1735.14.sbml.csv,Commensal
45,-1104.3658448347578,555.3335251279649,1735.14.sbml.csv,Commensal
46,-405.1262888647466,-1454.937351724097,1735.14.sbml.csv,Commensal
47,-2097.3249107182182,-1055.2939847844234,1735.14.sbml.csv,Commensal
48,-1532.839255868339,-906.412637662948,1735.14.sbml.csv,Commensal
49,-2205.7710491537136,-452.5444577813695,1735.14.sbml.csv,Commensal
50,-221.942843710503,-1269.9438394795905,2763666.3.sbml.csv,Commensal
51,-2074.589797794828,819.348092851145,2763666.3.sbml.csv,Commensal
52,-403.0761679517701,-1274.4063926143997,2763666.3.sbml.csv,Commensal
53,-1306.498613535024,603.2304857963255,2763666.3.sbml.csv,Commensal
54,-232.45368136380293,-1193.8617479027776,2763666.3.sbml.csv,Commensal
55,-933.5315355030785,-332.9363713595928,2763666.3.sbml.csv,Commensal
56,-1410.939732516753,-747.3591240367303,2763666.3.sbml.csv,Commensal
57,-1406.0768945043094,418.62698743493127,2763666.3.sbml.csv,Commensal
58,-735.7061562456753,-1347.892630434161,2763666.3.sbml.csv,Commensal
59,-1411.81449347935,461.9460764419683,2763666.3.sbml.csv,Commensal
60,-2411.5629423291466,1041.8688946017892,2763666.3.sbml.csv,Commensal
